,open,high,low,close,volume,oi,date,time
2015-01-01 09:15:00,103.01394911676717,104.28993903949569,100.86627358353529,103.0708252944586,2638,9882207,2015-01-01,09:15:00
2015-01-01 09:20:00,103.46281697558098,105.07969071325745,103.3367433040529,103.11538075268474,8918,7132608,2015-01-01,09:20:00
2015-01-01 09:25:00,104.33265745979358,105.9526840336322,102.70530995162405,104.77868185527842,4935,7274194,2015-01-01,09:25:00
2015-01-01 09:30:00,104.92848512047898,105.38290189316687,103.63101548463115,104.27226096278444,5712,6941838,2015-01-01,09:30:00
2015-01-01 09:35:00,104.98670387675412,105.40504385667707,103.12094336714361,105.40341114942557,4465,7184152,2015-01-01,09:35:00
2015-01-01 09:40:00,103.40380729762555,103.53703045591112,103.01611641125483,104.787364999115,1223,6431138,2015-01-01,09:40:00
2015-01-01 09:45:00,103.44119021735422,103.54446279963778,101.96263847611229,102.65512214472409,1997,7326157,2015-01-01,09:45:00
2015-01-01 09:50:00,103.69171143663308,104.19466663996654,103.44999295266076,104.71418187931826,6260,5064640,2015-01-01,09:50:00
2015-01-01 09:55:00,102.87150864351717,103.13257983236575,100.88615988551125,103.6487056483611,9113,8460071,2015-01-01,09:55:00
2015-01-01 10:00:00,103.24050446001593,105.66560131382064,102.8103971093864,103.715783554305,7949,5911496,2015-01-01,10:00:00
2015-01-01 10:05:00,102.83121100099905,103.58210338535686,102.56172253719294,102.88373807561794,6296,5167930,2015-01-01,10:05:00
2015-01-01 10:10:00,103.53471047666335,105.70816581340907,102.64895343563317,102.60931817414183,5014,7029350,2015-01-01,10:10:00
2015-01-01 10:15:00,103.78108021507313,104.61984947243806,103.23267432382778,103.51229182445826,3170,9129439,2015-01-01,10:15:00
2015-01-01 10:20:00,103.0927292356225,103.704561998084,101.34149129803473,102.9890381801707,3207,5187520,2015-01-01,10:20:00
2015-01-01 10:25:00,103.99739162301415,104.27656749752646,103.59382475360907,103.6413001304204,5299,7793729,2015-01-01,10:25:00
2015-01-01 10:30:00,103.77921978922596,104.12622946973397,103.7038779454304,103.58608292454538,5798,7441338,2015-01-01,10:30:00
2015-01-01 10:35:00,103.45826010669624,103.48034415246036,103.0502037198437,103.54412270289404,2430,9598152,2015-01-01,10:35:00
2015-01-01 10:40:00,102.9797755833474,104.48546925428177,102.77917103953779,102.82971141311009,6724,7619573,2015-01-01,10:40:00
2015-01-01 10:45:00,103.30977364563783,104.08515307598842,103.24577081254965,103.05690690523059,9437,5229450,2015-01-01,10:45:00
2015-01-01 10:50:00,103.35129636687283,104.46815728690065,103.22497000381831,103.41233657901809,2452,9046596,2015-01-01,10:50:00
2015-01-01 10:55:00,105.16464542204876,106.0790081710425,105.04712943730873,104.99641113124751,2062,5048231,2015-01-01,10:55:00
2015-01-01 11:00:00,107.26215554846145,107.36996435058923,106.35903715855952,108.02132637335927,9343,6260721,2015-01-01,11:00:00
2015-01-01 11:05:00,107.74803519856363,108.59692273652132,107.49371636836965,106.49963080708638,5702,9457832,2015-01-01,11:05:00
2015-01-01 11:10:00,108.07778032144628,109.21955913990399,107.68142744237737,108.03220822729321,9186,6092423,2015-01-01,11:10:00
2015-01-01 11:15:00,108.82045940281358,110.97160983962478,108.49038203967571,108.26301441475317,1023,5491194,2015-01-01,11:15:00
2015-01-01 11:20:00,108.41898082909688,109.26850907304063,107.84315087827603,109.74502186947747,1260,5749921,2015-01-01,11:20:00
2015-01-01 11:25:00,107.86567868906788,108.76224518552453,107.75519291680803,108.03104871940596,9769,8535401,2015-01-01,11:25:00
2015-01-01 11:30:00,107.96587000940879,109.05072792221279,107.09151006301451,107.49930993619263,8767,5107882,2015-01-01,11:30:00
2015-01-01 11:35:00,107.2827222804159,107.70348271730283,105.60276500174804,107.60104505357266,3578,9990769,2015-01-01,11:35:00
2015-01-01 11:40:00,107.61023974500527,108.02697920488407,105.36322728049876,107.49612080924737,4034,6827300,2015-01-01,11:40:00
2015-01-01 11:45:00,107.0723615151232,107.60686799912304,105.57622043873344,107.68416819961429,1776,5869108,2015-01-01,11:45:00
2015-01-01 11:50:00,107.90672180060743,109.04375750146824,105.70467043516365,108.19769414565083,8315,5826926,2015-01-01,11:50:00
2015-01-01 11:55:00,109.1115650068992,110.24414778914885,107.53715862681463,108.59478844611813,6449,7898421,2015-01-01,11:55:00
2015-01-01 12:00:00,108.16834109889389,108.18682442679842,107.78065013863322,108.13425986358197,7347,6374442,2015-01-01,12:00:00
2015-01-01 12:05:00,108.08071732563472,108.67489257990817,106.97513682357248,108.0010676893555,4848,8443732,2015-01-01,12:05:00
2015-01-01 12:10:00,109.92331727902372,110.40333521646171,109.32083781670919,110.6549109767335,5357,6402887,2015-01-01,12:10:00
